Scenarios, Recall, Model, TSize
1.0,0.9916943521594684,LinearSVC,70/30
2.0,0.9943521594684386,LinearSVC,70/30
3.0,0.9960132890365448,LinearSVC,70/30
4.0,0.9960132890365448,LinearSVC,70/30
5.0,0.9973421926910299,LinearSVC,70/30
6.0,0.9976744186046511,LinearSVC,70/30
7.0,0.9980066445182725,LinearSVC,70/30
8.0,0.9983388704318937,LinearSVC,70/30
9.0,0.998671096345515,LinearSVC,70/30
10.0,0.998671096345515,LinearSVC,70/30
11.0,0.9990033222591362,LinearSVC,70/30
12.0,0.9993355481727575,LinearSVC,70/30
13.0,0.9993355481727575,LinearSVC,70/30
14.0,0.9993355481727575,LinearSVC,70/30
15.0,0.9993355481727575,LinearSVC,70/30
16.0,0.9993355481727575,LinearSVC,70/30
17.0,0.9993355481727575,LinearSVC,70/30
18.0,0.9993355481727575,LinearSVC,70/30
19.0,0.9996677740863787,LinearSVC,70/30
20.0,1.0,LinearSVC,70/30
