Precision,Recall,Accuracy,F1,Model,Model-Name,T-Size
1.0,0.9995014955134598,0.99975,0.9997506856145598,knn,KNN,0.2
1.0,0.9995014955134598,0.99975,0.9997506856145598,lr,LogisticRegression,0.2
1.0,0.9995014955134598,0.99975,0.9997506856145598,svc,SVC,0.2
1.0,0.9995014955134598,0.99975,0.9997506856145598,dt,DecisionTree,0.2
1.0,0.9995014955134598,0.99975,0.9997506856145598,rf,RandomForest,0.2
1.0,0.9995014955134598,0.99975,0.9997506856145598,gb,GradientBoosting,0.2
0.9996015936254979,0.999700897308076,0.9996500000000001,0.9996511089272809,lstm,LSTM,0.2
0.9996677740863792,0.9996677740863792,0.9996666666666665,0.9996677740863792,knn,KNN,0.3
1.0,0.9993355481727576,0.9996666666666665,0.9996676636756398,lr,LogisticRegression,0.3
1.0,0.9980066445182725,0.999,0.9990023279015631,svc,SVC,0.3
1.0,0.9993355481727576,0.9996666666666665,0.9996676636756398,dt,DecisionTree,0.3
1.0,0.9993355481727576,0.9996666666666665,0.9996676636756398,rf,RandomForest,0.3
1.0,0.9993355481727576,0.9996666666666665,0.9996676636756398,gb,GradientBoosting,0.3
0.9998506471954863,0.9991528239202658,0.9995,0.9995014871666255,lstm,LSTM,0.3
0.999500998003992,0.9997504367357127,0.9996250000000003,0.9996257018091083,knn,KNN,0.4
0.9997503744383425,0.999500873471425,0.9996250000000003,0.999625608386372,lr,LogisticRegression,0.4
1.0,0.9977539306214126,0.9988749999999996,0.9988757026858213,svc,SVC,0.4
0.999500998003992,0.9997504367357127,0.9996250000000003,0.9996257018091083,dt,DecisionTree,0.4
0.999500998003992,0.9997504367357127,0.9996250000000003,0.9996257018091083,rf,RandomForest,0.4
0.999500998003992,0.9997504367357127,0.9996250000000003,0.9996257018091083,gb,GradientBoosting,0.4
0.9994768310911809,0.999301222859995,0.9993875000000001,0.9993886242122544,lstm,LSTM,0.4
