Tx,BW,Interval,Label
57.3,49.2,10.0001,0
57.7,49.5,10.0001,0
57.1,49.0,10.0,0
56.0,48.1,10.0,0
57.6,49.5,10.0002,0
56.3,48.3,10.0001,0
53.9,46.3,10.0001,0
57.2,49.2,10.0003,0
57.2,49.2,10.0001,0
57.8,49.7,10.0,0
57.2,49.1,10.0007,0
57.1,49.1,10.0,0
57.7,49.5,10.0001,0
58.4,50.1,10.0001,0
54.8,47.0,10.0001,0
57.2,49.1,10.0002,0
57.4,49.3,10.0,0
57.9,49.7,10.0,0
57.5,49.4,10.0001,0
54.0,46.4,10.0001,0
57.8,49.6,10.0001,0
57.5,49.4,10.0001,0
57.8,49.6,10.0001,0
57.3,49.2,10.0001,0
57.7,49.6,10.0001,0
58.4,50.2,10.0,0
57.9,49.8,10.0001,0
56.3,48.3,10.0,0
57.4,49.3,10.0,0
57.8,49.7,10.0,0
55.0,47.2,10.0001,0
57.8,49.7,10.0,0
54.3,46.7,10.0,0
54.2,46.6,10.0003,0
58.1,49.9,10.0,0
58.2,50.0,10.0001,0
57.9,49.7,10.0001,0
57.9,49.8,10.0001,0
57.0,48.9,10.0001,0
58.2,50.0,10.0004,0
58.3,50.1,10.0,0
58.0,49.9,10.0,0
57.2,49.1,10.0,0
58.2,50.0,10.0,0
58.0,49.8,10.0,0
56.3,48.3,10.0004,0
57.5,49.4,10.0001,0
57.6,49.5,10.0,0
58.3,50.1,10.0,0
57.9,49.8,10.0001,0
57.4,49.3,10.0001,0
56.9,48.9,10.0,0
57.2,49.2,10.0,0
57.3,49.3,10.0001,0
58.0,49.9,10.0003,0
58.6,50.3,10.0,0
57.3,49.3,10.0,0
55.6,47.7,10.0,0
59.4,51.0,10.0,0
58.2,50.0,10.0001,0
54.2,46.6,10.0001,0
58.2,50.0,10.0001,0
56.8,48.8,10.0001,0
58.5,50.3,10.0001,0
58.9,50.6,10.0001,0
57.3,49.2,10.0001,0
56.5,48.5,10.0,0
58.5,50.2,10.0001,0
57.8,49.6,10.0001,0
57.2,49.2,10.0001,0
56.3,48.4,10.0,0
56.7,48.7,10.0001,0
57.2,49.2,10.0004,0
58.3,50.1,10.0001,0
53.3,45.8,10.0,0
56.7,48.7,10.0,0
55.3,47.5,10.0004,0
58.1,49.9,10.0001,0
57.1,49.0,10.0001,0
