Precision,Recall,Accuracy,F1,Model,Model-Name,T-Size
1.0,0.9995014955134598,0.99975,0.9997506856145598,knn,KNN,0.2
1.0,0.9995014955134598,0.99975,0.9997506856145598,lr,LogisticRegression,0.2
0.9997270589026572,0.9993020937188435,0.9995125,0.9995141032510395,lsvc,LinearSVC,0.2
1.0,0.9995014955134598,0.99975,0.9997506856145598,svc,SVC,0.2
1.0,0.9995014955134598,0.99975,0.9997506856145598,dt,DecisionTree,0.2
1.0,0.9995014955134598,0.99975,0.9997506856145598,rf,RandomForest,0.2
1.0,0.9995014955134598,0.99975,0.9997506856145598,gb,GradientBoosting,0.2
1.0,0.9905284147557329,0.9952500000000001,0.9952416729276232,gnb,GaussianNB,0.2
1.0,0.9955134596211366,0.9977500000000001,0.9977516862353234,mnb,MultinomialNB,0.2
0.9996015936254979,0.999700897308076,0.9996500000000001,0.9996511089272809,lstm,LSTM,0.2
0.9996677740863792,0.9996677740863792,0.9996666666666665,0.9996677740863792,knn,KNN,0.3
1.0,0.9993355481727576,0.9996666666666665,0.9996676636756398,lr,LogisticRegression,0.3
0.9999336044361478,0.9980398671096344,0.9989833333333331,0.998984723901431,lsvc,LinearSVC,0.3
1.0,0.9980066445182725,0.999,0.9990023279015631,svc,SVC,0.3
1.0,0.9993355481727576,0.9996666666666665,0.9996676636756398,dt,DecisionTree,0.3
1.0,0.9993355481727576,0.9996666666666665,0.9996676636756398,rf,RandomForest,0.3
1.0,0.9993355481727576,0.9996666666666665,0.9996676636756398,gb,GradientBoosting,0.3
0.9996642041638684,0.9890365448504983,0.9943333333333333,0.9943219772879089,gnb,GaussianNB,0.3
1.0,0.9950166112956811,0.9975000000000002,0.9975020815986679,mnb,MultinomialNB,0.3
0.9998506471954863,0.9991528239202658,0.9995,0.9995014871666255,lstm,LSTM,0.3
0.999500998003992,0.9997504367357127,0.9996250000000003,0.9996257018091083,knn,KNN,0.4
0.9997503744383425,0.999500873471425,0.9996250000000003,0.999625608386372,lr,LogisticRegression,0.4
0.9992685034484008,0.9987896181682057,0.9990249999999999,0.9990271985486642,lsvc,LinearSVC,0.4
1.0,0.9977539306214126,0.9988749999999996,0.9988757026858213,svc,SVC,0.4
0.999500998003992,0.9997504367357127,0.9996250000000003,0.9996257018091083,dt,DecisionTree,0.4
0.999500998003992,0.9997504367357127,0.9996250000000003,0.9996257018091083,rf,RandomForest,0.4
0.999500998003992,0.9997504367357127,0.9996250000000003,0.9996257018091083,gb,GradientBoosting,0.4
0.9997478567826527,0.9895183428999251,0.9946249999999995,0.9946067979430577,gnb,GaussianNB,0.4
1.0,0.9957574245071126,0.9978750000000002,0.9978742028260598,mnb,MultinomialNB,0.4
0.9994768310911809,0.999301222859995,0.9993875000000001,0.9993886242122544,lstm,LSTM,0.4
